good,good,11/18
color,color,7/7
good,good,5/18
scratch,scratch,20/20
good,good,8/18
liquid,liquid,9/9
good,good,7/18
hole,hole,9/9
good,good,18/19
broken_large,broken_large,17/19
good,good,18/19
broken_small,broken_small,20/21
good,good,15/19
contamination,contamination,16/20
good,good,20/57
bent_wire,bent_wire,9/12
good,good,32/57
cable_swap,cable_swap,8/11
good,good,29/57
cut_inner_insulation,cut_inner_insulation,8/13
good,good,33/57
cut_outer_insulation,cut_outer_insulation,4/9
good,good,29/57
missing_cable,missing_cable,9/11
good,good,22/57
missing_wire,missing_wire,7/9
good,good,15/57
poke_insulation,poke_insulation,7/9
good,good,12/22
crack,crack,19/22
good,good,5/22
faulty_imprint,faulty_imprint,18/21
good,good,21/22
poke,poke,10/20
good,good,12/22
scratch,scratch,14/22
good,good,10/22
squeeze,squeeze,15/19
good,good,27/27
color,color,18/18
good,good,27/27
cut,cut,16/16
good,good,26/27
hole,hole,16/16
good,good,23/27
metal_contamination,metal_contamination,16/16
good,good,27/27
thread,thread,18/18
good,good,20/20
bent,bent,7/11
good,good,20/20
broken,broken,10/11
good,good,20/20
glue,glue,9/10
good,good,20/20
metal_contamination,metal_contamination,8/10
good,good,20/20
thread,thread,9/10
good,good,0/39
crack,crack,17/17
good,good,0/39
cut,cut,16/16
good,good,0/39
hole,hole,17/17
good,good,0/39
print,print,16/16
good,good,29/31
color,color,18/18
good,good,30/31
cut,cut,18/18
good,good,28/31
fold,fold,16/16
good,good,12/31
glue,glue,18/18
good,good,30/31
poke,poke,17/17
good,good,1/21
bent,bent,24/24
good,good,0/21
color,color,21/21
good,good,0/21
flip,flip,22/22
good,good,0/21
scratch,scratch,22/22
good,good,0/25
color,color,24/24
good,good,0/25
contamination,contamination,20/20
good,good,0/25
crack,crack,25/25
good,good,0/25
faulty_imprint,faulty_imprint,18/18
good,good,0/25
scratch,scratch,23/23
good,good,0/25
pill_type,pill_type,8/8
good,good,39/40
manipulated_front,manipulated_front,3/23
good,good,40/40
scratch_head,scratch_head,0/23
good,good,40/40
scratch_neck,scratch_neck,4/24
good,good,40/40
thread_side,thread_side,0/22
good,good,40/40
thread_top,thread_top,4/22
good,good,1/32
crack,crack,16/16
good,good,1/32
glue_strip,glue_strip,17/17
good,good,0/32
gray_stroke,gray_stroke,15/15
good,good,0/32
oil,oil,17/17
good,good,0/32
rough,rough,14/14
good,good,6/11
defective,defective,12/29
good,good,0/59
bent_lead,bent_lead,9/9
good,good,0/59
cut_lead,cut_lead,9/9
good,good,0/59
damaged_case,damaged_case,9/9
good,good,0/59
misplaced,misplaced,9/9
good,good,31/31
broken_teeth,broken_teeth,1/18
good,good,31/31
fabric_border,fabric_border,8/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,5/16
good,good,31/31
split_teeth,split_teeth,9/17
good,good,31/31
squeezed_teeth,squeezed_teeth,3/15
